Log(E/eV)	r [M]	Theta	Synchr	Brems ei
14.5556	10.9782	0	14.6632	-2.15644
15.7778	10.9782	0	15.8854	-2.10115
17	10.9782	0	17.1077	-2.05212
6	11.2311	0	5.53907	-3.8867
7.22222	11.2311	0	6.76129	-3.31467
8.44444	11.2311	0	7.98352	-3.0761
9.66667	11.2311	0	9.20574	-2.923
10.8889	11.2311	0	10.428	-2.81003
12.1111	11.2311	0	11.6502	-2.72046
13.3333	11.2311	0	12.8724	-2.64624
14.5556	11.2311	0	14.0946	-2.58288
15.7778	11.2311	0	15.3169	-2.52759
17	11.2311	0	16.5391	-2.47855
6	11.4841	0	4.89846	-4.36715
7.22222	11.4841	0	6.12069	-3.79513
8.44444	11.4841	0	7.34291	-3.55656
9.66667	11.4841	0	8.56513	-3.40346
10.8889	11.4841	0	9.78735	-3.29048
12.1111	11.4841	0	11.0096	-3.20092
13.3333	11.4841	0	12.2318	-3.1267
14.5556	11.4841	0	13.454	-3.06333
15.7778	11.4841	0	14.6762	-3.00805
17	11.4841	0	15.8985	-2.95901
6	11.737	0	4.19543	-4.89443
7.22222	11.737	0	5.41765	-4.32241
8.44444	11.737	0	6.63987	-4.08384
9.66667	11.737	0	7.86209	-3.93073
10.8889	11.737	0	9.08432	-3.81776
12.1111	11.737	0	10.3065	-3.72819
13.3333	11.737	0	11.5288	-3.65398
14.5556	11.737	0	12.751	-3.59061
15.7778	11.737	0	13.9732	-3.53532
17	11.737	0	15.1954	-3.48629
6	11.99	0	3.43844	-5.46217
7.22222	11.99	0	4.66066	-4.89015
8.44444	11.99	0	5.88289	-4.65157
9.66667	11.99	0	7.10511	-4.49847
10.8889	11.99	0	8.32733	-4.3855
12.1111	11.99	0	9.54955	-4.29593
13.3333	11.99	0	10.7718	-4.22172
14.5556	11.99	0	11.994	-4.15835
15.7778	11.99	0	13.2162	-4.10306
17	11.99	0	14.4384	-4.05403
6	12.2429	0	2.635	-6.06475
7.22222	12.2429	0	3.85722	-5.49273
8.44444	12.2429	0	5.07945	-5.25416
9.66667	12.2429	0	6.30167	-5.10105
10.8889	12.2429	0	7.52389	-4.98808
12.1111	12.2429	0	8.74611	-4.89851
13.3333	12.2429	0	9.96833	-4.8243
14.5556	12.2429	0	11.1906	-4.76093
15.7778	12.2429	0	12.4128	-4.70564
17	12.2429	0	13.635	-4.65661
6	12.4959	0	1.79174	-6.6972
7.22222	12.4959	0	3.01396	-6.12518
8.44444	12.4959	0	4.23618	-5.8866
9.66667	12.4959	0	5.4584	-5.7335
10.8889	12.4959	0	6.68063	-5.62053
12.1111	12.4959	0	7.90285	-5.53096
13.3333	12.4959	0	9.12507	-5.45674
14.5556	12.4959	0	10.3473	-5.39338
15.7778	12.4959	0	11.5695	-5.33809
17	12.4959	0	12.7917	-5.28906
6	12.7488	0	0.914522	-7.35511
7.22222	12.7488	0	2.13674	-6.78309
8.44444	12.7488	0	3.35897	-6.54452
9.66667	12.7488	0	4.58119	-6.39141
10.8889	12.7488	0	5.80341	-6.27844
12.1111	12.7488	0	7.02563	-6.18887
13.3333	12.7488	0	8.24785	-6.11466
14.5556	12.7488	0	9.47008	-6.05129
15.7778	12.7488	0	10.6923	-5.996
17	12.7488	0	11.9145	-5.94697
6	13.0018	0	0.00855326	-8.03458
7.22222	13.0018	0	1.23078	-7.46256
8.44444	13.0018	0	2.453	-7.22399
9.66667	13.0018	0	3.67522	-7.07089
10.8889	13.0018	0	4.89744	-6.95792
12.1111	13.0018	0	6.11966	-6.86835
13.3333	13.0018	0	7.34189	-6.79413
14.5556	13.0018	0	8.56411	-6.73077
15.7778	13.0018	0	9.78633	-6.67548
17	13.0018	0	11.0086	-6.62644
6	13.2547	0	-0.921559	-8.73217
7.22222	13.2547	0	0.300663	-8.16015
8.44444	13.2547	0	1.52289	-7.92158
9.66667	13.2547	0	2.74511	-7.76847
10.8889	13.2547	0	3.96733	-7.6555
12.1111	13.2547	0	5.18955	-7.56593
13.3333	13.2547	0	6.41177	-7.49172
14.5556	13.2547	0	7.634	-7.42835
15.7778	13.2547	0	8.85622	-7.37306
17	13.2547	0	10.0784	-7.32403
6	13.5077	0	-1.87173	-9.4448
7.22222	13.5077	0	-0.649508	-8.87278
8.44444	13.5077	0	0.572715	-8.6342
9.66667	13.5077	0	1.79494	-8.4811
10.8889	13.5077	0	3.01716	-8.36813
12.1111	13.5077	0	4.23938	-8.27856
13.3333	13.5077	0	5.4616	-8.20435
14.5556	13.5077	0	6.68383	-8.14098
15.7778	13.5077	0	7.90605	-8.08569
17	13.5077	0	9.12827	-8.03666
6	13.7606	0	-2.83834	-10.1698
7.22222	13.7606	0	-1.61611	-9.59773
8.44444	13.7606	0	-0.393892	-9.35916
9.66667	13.7606	0	0.82833	-9.20606
10.8889	13.7606	0	2.05055	-9.09308
12.1111	13.7606	0	3.27277	-9.00352
13.3333	13.7606	0	4.495	-8.9293
14.5556	13.7606	0	5.71722	-8.86593
15.7778	13.7606	0	6.93944	-8.81065
17	13.7606	0	8.16166	-8.76161
6	14.0136	0	-3.81817	-10.9046
7.22222	14.0136	0	-2.59594	-10.3326
8.44444	14.0136	0	-1.37372	-10.094
9.66667	14.0136	0	-0.151499	-9.94093
10.8889	14.0136	0	1.07072	-9.82796
12.1111	14.0136	0	2.29295	-9.73839
13.3333	14.0136	0	3.51517	-9.66417
14.5556	14.0136	0	4.73739	-9.60081
15.7778	14.0136	0	5.95961	-9.54552
17	14.0136	0	7.18183	-9.49648
6	14.2665	0	-4.80837	-11.6473
7.22222	14.2665	0	-3.58614	-11.0753
8.44444	14.2665	0	-2.36392	-10.8367
9.66667	14.2665	0	-1.1417	-10.6836
10.8889	14.2665	0	0.0805229	-10.5706
12.1111	14.2665	0	1.30275	-10.481
13.3333	14.2665	0	2.52497	-10.4068
14.5556	14.2665	0	3.74719	-10.3435
15.7778	14.2665	0	4.96941	-10.2882
17	14.2665	0	6.19163	-10.2391
6	14.5195	0	-5.80641	-12.3958
7.22222	14.5195	0	-4.58419	-11.8238
8.44444	14.5195	0	-3.36197	-11.5852
9.66667	14.5195	0	-2.13974	-11.4321
10.8889	14.5195	0	-0.917521	-11.3191
12.1111	14.5195	0	0.304701	-11.2296
13.3333	14.5195	0	1.52692	-11.1554
14.5556	14.5195	0	2.74915	-11.092
15.7778	14.5195	0	3.97137	-11.0367
17	14.5195	0	5.19359	-10.9877
6	14.7724	0	-6.81006	-13.1485
7.22222	14.7724	0	-5.58783	-12.5765
8.44444	14.7724	0	-4.36561	-12.3379
9.66667	14.7724	0	-3.14339	-12.1848
10.8889	14.7724	0	-1.92117	-12.0719
12.1111	14.7724	0	-0.698945	-11.9823
13.3333	14.7724	0	0.523278	-11.9081
14.5556	14.7724	0	1.7455	-11.8447
15.7778	14.7724	0	2.96772	-11.7894
17	14.7724	0	4.18994	-11.7404
6	15.0254	0	-7.81731	-13.904
7.22222	15.0254	0	-6.59509	-13.332
8.44444	15.0254	0	-5.37287	-13.0934
9.66667	15.0254	0	-4.15065	-12.9403
10.8889	15.0254	0	-2.92843	-12.8273
12.1111	15.0254	0	-1.7062	-12.7378
13.3333	15.0254	0	-0.483982	-12.6635
14.5556	15.0254	0	0.738241	-12.6002
