Log(E/eV)	r [M]	Theta	Synchr
6	23.1199	0	-36.9076
7.22222	23.1199	0	-35.6854
8.44444	23.1199	0	-34.4632
9.66667	23.1199	0	-33.241
10.8889	23.1199	0	-32.0187
12.1111	23.1199	0	-30.7965
13.3333	23.1199	0	-29.5743
14.5556	23.1199	0	-28.3521
15.7778	23.1199	0	-27.1298
17	23.1199	0	-25.9076
6	23.3728	0	-37.6666
7.22222	23.3728	0	-36.4444
8.44444	23.3728	0	-35.2221
9.66667	23.3728	0	-33.9999
10.8889	23.3728	0	-32.7777
12.1111	23.3728	0	-31.5555
13.3333	23.3728	0	-30.3332
14.5556	23.3728	0	-29.111
15.7778	23.3728	0	-27.8888
17	23.3728	0	-26.6666
6	23.6258	0	-38.4163
7.22222	23.6258	0	-37.194
8.44444	23.6258	0	-35.9718
9.66667	23.6258	0	-34.7496
10.8889	23.6258	0	-33.5274
12.1111	23.6258	0	-32.3051
13.3333	23.6258	0	-31.0829
14.5556	23.6258	0	-29.8607
15.7778	23.6258	0	-28.6385
17	23.6258	0	-27.4163
6	23.8787	0	-39.1568
7.22222	23.8787	0	-37.9345
8.44444	23.8787	0	-36.7123
9.66667	23.8787	0	-35.4901
10.8889	23.8787	0	-34.2679
12.1111	23.8787	0	-33.0457
13.3333	23.8787	0	-31.8234
14.5556	23.8787	0	-30.6012
15.7778	23.8787	0	-29.379
17	23.8787	0	-28.1568
6	24.1317	0	-39.8882
7.22222	24.1317	0	-38.666
8.44444	24.1317	0	-37.4438
9.66667	24.1317	0	-36.2215
10.8889	24.1317	0	-34.9993
12.1111	24.1317	0	-33.7771
13.3333	24.1317	0	-32.5549
14.5556	24.1317	0	-31.3326
15.7778	24.1317	0	-30.1104
17	24.1317	0	-28.8882
6	24.3846	0	-40.6107
7.22222	24.3846	0	-39.3884
8.44444	24.3846	0	-38.1662
9.66667	24.3846	0	-36.944
10.8889	24.3846	0	-35.7218
12.1111	24.3846	0	-34.4996
13.3333	24.3846	0	-33.2773
14.5556	24.3846	0	-32.0551
15.7778	24.3846	0	-30.8329
17	24.3846	0	-29.6107
6	24.6376	0	-41.3243
7.22222	24.6376	0	-40.102
8.44444	24.6376	0	-38.8798
9.66667	24.6376	0	-37.6576
10.8889	24.6376	0	-36.4354
12.1111	24.6376	0	-35.2131
13.3333	24.6376	0	-33.9909
14.5556	24.6376	0	-32.7687
15.7778	24.6376	0	-31.5465
17	24.6376	0	-30.3243
6	24.8905	0	-42.0291
7.22222	24.8905	0	-40.8069
8.44444	24.8905	0	-39.5846
9.66667	24.8905	0	-38.3624
