gamma	 omPrim	 omMin	 omMax	 probtot
6.30957	0.0203295	0.000128875	2.11714	1.19145
6.30957	0.0551392	0.000347619	3.63849	0.944001
6.30957	0.149552	0.000928971	4.94993	0.906881
6.30957	0.405627	0.00242297	5.70853	0.833039
6.30957	1.10017	0.00595242	6.40974	0.805675
6.30957	2.98396	0.012858	8.29354	0.925657
6.30957	8.09332	0.0224685	13.4029	0.95795
7.94328	2.19513e-12	8.76723e-15	5.49614e-10	301922
7.94328	5.95379e-12	2.37791e-14	1.4907e-09	40074.5
7.94328	1.61483e-11	6.44954e-14	4.04319e-09	5482.67
7.94328	4.37986e-11	1.74929e-13	1.09662e-08	762.897
7.94328	1.18794e-10	4.74456e-13	2.97434e-08	101.175
7.94328	3.22201e-10	1.28685e-12	8.06723e-08	14.4097
7.94328	8.73897e-10	3.4903e-12	2.18805e-07	2.59938
7.94328	2.37025e-09	9.46664e-12	5.9346e-07	1.1915
7.94328	6.42875e-09	2.56761e-11	1.60962e-06	1.04017
7.94328	1.74365e-08	6.96406e-11	4.36574e-06	1.02861
7.94328	4.72926e-08	1.88884e-10	1.18411e-05	1.0277
7.94328	1.2827e-07	5.12305e-10	3.21161e-05	1.02767
7.94328	3.47905e-07	1.38951e-09	8.7107e-05	1.02767
7.94328	9.43612e-07	3.76874e-09	0.000236254	1.02767
7.94328	2.55933e-06	1.02218e-08	0.000640751	1.02767
7.94328	6.94161e-06	2.77244e-08	0.00173765	1.02766
7.94328	1.88275e-05	7.5196e-08	0.00471121	1.02766
7.94328	5.10654e-05	2.03951e-07	0.0127651	1.02764
7.94328	0.000138503	5.53165e-07	0.034527	1.02761
7.94328	0.000375659	1.50029e-06	0.092952	1.02758
7.94328	0.00101889	4.06886e-06	0.247139	1.02787
7.94328	0.0027635	1.10334e-05	0.636277	1.03133
7.94328	0.00749538	2.99078e-05	1.51688	1.05991
7.94328	0.0203295	8.09868e-05	3.09736	1.30693
7.94328	0.0551392	0.000218699	5.02944	0.934452
7.94328	0.149552	0.000586223	6.53162	0.889029
7.94328	0.405627	0.00154104	7.3399	0.806217
7.94328	1.10017	0.0038576	8.04345	0.762366
7.94328	2.98396	0.00865389	9.92725	0.918216
7.94328	8.09332	0.0159787	15.0366	0.954974
10	2.19513e-12	5.51544e-15	8.73656e-10	204865
10	5.95379e-12	1.49594e-14	2.36959e-09	27848.5
10	1.61483e-11	4.05739e-14	6.42698e-09	3815.51
10	4.37986e-11	1.10047e-13	1.74317e-08	523.279
10	1.18794e-10	2.98479e-13	4.72796e-08	69.5984
10	3.22201e-10	8.09555e-13	1.28235e-07	10.1856
10	8.73897e-10	2.19573e-12	3.47809e-07	2.06654
